,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.0,Sun Apr 08 04:02:30 +0000 2018,1.0,0.0,0.0,1
1,0.0772,Sun Apr 08 04:02:29 +0000 2018,0.947,0.0,0.053,2
2,0.0,Sun Apr 08 04:02:29 +0000 2018,1.0,0.0,0.0,3
3,0.0,Sun Apr 08 04:02:28 +0000 2018,1.0,0.0,0.0,4
4,0.0,Sun Apr 08 04:02:27 +0000 2018,1.0,0.0,0.0,5
5,0.0,Sun Apr 08 04:02:26 +0000 2018,1.0,0.0,0.0,6
6,0.0,Sun Apr 08 04:02:25 +0000 2018,1.0,0.0,0.0,7
7,0.0,Sun Apr 08 04:02:25 +0000 2018,1.0,0.0,0.0,8
8,0.0352,Sun Apr 08 04:02:22 +0000 2018,0.684,0.135,0.181,9
9,0.0,Sun Apr 08 04:02:19 +0000 2018,1.0,0.0,0.0,10
10,0.0,Sun Apr 08 04:02:18 +0000 2018,1.0,0.0,0.0,11
11,0.0,Sun Apr 08 04:02:18 +0000 2018,1.0,0.0,0.0,12
12,0.0,Sun Apr 08 04:02:18 +0000 2018,1.0,0.0,0.0,13
13,0.0,Sun Apr 08 04:02:16 +0000 2018,1.0,0.0,0.0,14
14,0.5859,Sun Apr 08 04:02:16 +0000 2018,0.513,0.0,0.487,15
15,0.0,Sun Apr 08 04:02:10 +0000 2018,1.0,0.0,0.0,16
16,0.9313,Sun Apr 08 04:02:10 +0000 2018,0.59,0.0,0.41,17
17,0.0,Sun Apr 08 04:02:10 +0000 2018,1.0,0.0,0.0,18
18,-0.6597,Sun Apr 08 04:02:10 +0000 2018,0.735,0.265,0.0,19
19,0.0,Sun Apr 08 04:02:10 +0000 2018,1.0,0.0,0.0,20
20,0.0,Sun Apr 08 04:02:07 +0000 2018,1.0,0.0,0.0,21
21,0.1779,Sun Apr 08 04:02:06 +0000 2018,0.496,0.223,0.281,22
22,0.0,Sun Apr 08 04:02:03 +0000 2018,1.0,0.0,0.0,23
23,0.0,Sun Apr 08 04:02:02 +0000 2018,1.0,0.0,0.0,24
24,-0.9062,Sun Apr 08 04:02:01 +0000 2018,0.515,0.485,0.0,25
25,-0.4215,Sun Apr 08 04:02:01 +0000 2018,0.709,0.198,0.093,26
26,0.6369,Sun Apr 08 04:01:58 +0000 2018,0.741,0.0,0.259,27
27,0.0,Sun Apr 08 04:01:58 +0000 2018,1.0,0.0,0.0,28
28,0.1521,Sun Apr 08 04:01:57 +0000 2018,0.578,0.184,0.238,29
29,-0.9217,Sun Apr 08 04:01:56 +0000 2018,0.431,0.569,0.0,30
30,0.0,Sun Apr 08 04:01:56 +0000 2018,1.0,0.0,0.0,31
31,0.0,Sun Apr 08 04:01:55 +0000 2018,1.0,0.0,0.0,32
32,-0.9217,Sun Apr 08 04:01:55 +0000 2018,0.377,0.623,0.0,33
33,-0.25,Sun Apr 08 04:01:53 +0000 2018,0.929,0.071,0.0,34
34,0.0,Sun Apr 08 04:01:53 +0000 2018,1.0,0.0,0.0,35
35,0.0,Sun Apr 08 04:01:52 +0000 2018,1.0,0.0,0.0,36
36,0.0,Sun Apr 08 04:01:50 +0000 2018,1.0,0.0,0.0,37
37,0.0,Sun Apr 08 04:01:50 +0000 2018,1.0,0.0,0.0,38
38,0.0,Sun Apr 08 04:01:49 +0000 2018,1.0,0.0,0.0,39
39,-0.5719,Sun Apr 08 04:01:48 +0000 2018,0.654,0.346,0.0,40
40,0.0,Sun Apr 08 04:01:47 +0000 2018,1.0,0.0,0.0,41
41,-0.8658,Sun Apr 08 04:01:46 +0000 2018,0.508,0.492,0.0,42
42,0.0,Sun Apr 08 04:01:45 +0000 2018,1.0,0.0,0.0,43
43,-0.2263,Sun Apr 08 04:01:44 +0000 2018,0.853,0.147,0.0,44
44,0.0,Sun Apr 08 04:01:44 +0000 2018,1.0,0.0,0.0,45
45,0.0,Sun Apr 08 04:01:43 +0000 2018,1.0,0.0,0.0,46
46,0.0,Sun Apr 08 04:01:43 +0000 2018,1.0,0.0,0.0,47
47,-0.4843,Sun Apr 08 04:01:43 +0000 2018,0.88,0.12,0.0,48
48,0.0,Sun Apr 08 04:01:42 +0000 2018,1.0,0.0,0.0,49
49,0.0,Sun Apr 08 04:01:42 +0000 2018,1.0,0.0,0.0,50
50,0.0,Sun Apr 08 04:01:42 +0000 2018,1.0,0.0,0.0,51
51,0.0,Sun Apr 08 04:01:41 +0000 2018,1.0,0.0,0.0,52
52,0.0,Sun Apr 08 04:01:41 +0000 2018,1.0,0.0,0.0,53
53,0.0,Sun Apr 08 04:01:41 +0000 2018,1.0,0.0,0.0,54
54,0.0,Sun Apr 08 04:01:40 +0000 2018,1.0,0.0,0.0,55
55,0.6199,Sun Apr 08 04:01:39 +0000 2018,0.79,0.0,0.21,56
