,City,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
0,dingle,92,100,52.32,46.562,17.16
1,wexford,76,100,52.32,42.962,5.56
2,droitwich,75,100,52.32,37.166,3.6
3,sotnikovo,20,30,52.32,26.6,11.0
4,beringovskiy,92,98,52.32,38.912,11.11
5,orlik,0,57,52.32,8.203999999999997,1.81
6,provideniya,92,98,52.32,39.542,13.81
7,sosnovo-ozerskoye,20,42,52.32,20.534,7.16
8,meget,0,41,52.32,24.8,7.0
9,dingle,92,100,52.32,46.562,17.16
10,sioux lookout,56,59,52.32,7.484000000000002,4.31
11,swan river,64,65,52.32,16.124,4.26
12,wainwright,0,57,52.32,-7.456000000000003,2.46
13,znamenka,92,93,52.32,35.672,5.71
14,bethel,92,95,52.32,40.442,16.71
15,nikolskoye,68,98,52.32,38.462,7.66
16,nikolskoye,92,94,52.32,37.022,6.16
17,sioux lookout,56,63,52.32,8.474,4.56
18,dryden,64,65,52.32,12.344000000000001,3.96
19,saint-augustin,48,86,52.32,7.934000000000001,11.91
20,nanortalik,92,98,52.32,44.492000000000004,18.16
21,waterford,80,100,52.32,40.442,4.51
22,huntingdon,75,86,52.32,38.732,3.6
23,bonavista,44,100,52.32,30.344,19.41
24,nikolskoye,92,98,52.32,37.832,9.96
25,saint anthony,80,100,52.32,21.794,18.41
26,petropavlovsk-kamchatskiy,24,100,52.32,31.244,5.46
27,bethel,92,94,52.32,40.532,16.36
28,sosnovo-ozerskoye,20,42,52.32,20.534,7.16
29,losser,75,100,52.32,34.556,0.5
30,provideniya,88,97,52.32,39.542,14.06
31,provost,0,65,52.32,-5.295999999999999,2.86
32,havre-saint-pierre,0,73,52.32,-0.5260000000000034,6.06
33,saint anthony,80,100,52.32,26.654,19.56
34,lac du bonnet,64,67,52.32,13.784000000000002,4.01
35,sitka,88,100,52.32,39.992000000000004,6.96
36,unity,0,65,52.32,-1.426000000000002,4.66
37,vostok,68,95,52.32,23.503999999999998,8.66
38,zilair,68,71,52.32,28.724,3.56
39,humboldt,0,79,52.32,5.594000000000001,7.26
40,beringovskiy,92,97,52.32,38.552,10.41
41,huizen,90,93,52.32,41.468,2.6
42,chapais,68,86,52.32,1.1839999999999975,6.61
43,tahe,20,48,52.32,54.482,5.71
44,cherkasskoye,92,99,52.32,34.592,7.36
45,grindavik,92,100,52.32,48.092,16.51
46,dauphin,68,68,52.32,17.114,4.66
47,lyuban,92,96,52.32,51.152,7.91
48,pokrovskoye,0,100,52.32,37.4,6.0
49,quesnel,80,80,52.32,22.514000000000003,1.41
50,georgetown,88,99,-2.81,81.482,6.46
51,tabou,76,100,-2.81,81.572,5.66
52,axim,0,100,-2.81,81.572,6.46
53,manggar,88,99,-2.81,83.732,4.81
54,rungata,92,100,-2.81,79.412,4.16
55,padang,24,100,-2.81,84.09200000000001,5.21
56,vaitupu,0,98,-2.81,82.922,5.36
57,pangkalanbuun,12,87,-2.81,87.062,4.56
58,prabumulih,20,71,-2.81,87.512,2.31
59,georgetown,88,99,-2.81,81.482,6.46
60,san cristobal,92,100,-2.81,77.882,1.46
